Case_ID,Theft_Date,Report_Date,Car_Brand,Car_Model,Year_of_Manufacture,Car_Type,Fuel_Type,Color,Registered_State,Registered_City,Location_of_Theft,Time_of_Theft,Police_Station,Is_Recovered,Recovery_Date,Suspect_Identified,Number_of_Prev_Thefts,GPS_Installed,CCTV_Availability,Insurance_Status,Owner_Age_Group
17,2023-07-27,2023-07-29,Honda,Jazz,2011,SUV,Diesel,Silver,Rajasthan,Jodhpur,Area-46,Afternoon,PS-80,No,,No,2,Yes,No,Valid,18-25
18,2023-06-03,2023-06-08,Kia,Carens,2011,Pickup,Electric,Red,Tamil Nadu,Coimbatore,Area-21,Afternoon,PS-50,Yes,2023-06-17,Yes,1,Yes,Yes,No Insurance,41-60
19,2023-07-23,2023-07-23,Mahindra,Thar,2023,Hatchback,Electric,Silver,Maharashtra,Nagpur,Area-15,Afternoon,PS-22,Yes,2023-08-06,No,0,No,Yes,Valid,60+
20,2023-09-14,2023-09-17,Nissan,Sunny,2017,MUV,Electric,Silver,Karnataka,Hubli,Area-20,Afternoon,PS-85,No,,Yes,0,Yes,Yes,No Insurance,41-60
21,2023-01-31,2023-02-06,Mahindra,Scorpio,2009,Hatchback,CNG,Silver,West Bengal,Howrah,Area-44,Night,PS-6,No,,No,2,Yes,Yes,Valid,60+
22,2023-07-02,2023-07-07,Kia,Carens,2006,Pickup,CNG,Gray,Maharashtra,Mumbai,Area-16,Morning,PS-81,No,,Yes,1,No,No,Valid,26-40
23,2023-05-03,2023-05-06,Ford,Figo,2019,Convertible,Electric,Gray,Madhya Pradesh,Bhopal,Area-50,Night,PS-82,No,,Yes,1,Yes,No,Valid,60+
24,2023-08-21,2023-08-25,Hyundai,Creta,2016,Sedan,Petrol,White,Rajasthan,Udaipur,Area-41,Afternoon,PS-41,Yes,2023-09-07,No,0,Yes,Yes,Expired,60+
25,2023-12-01,2023-12-03,Mahindra,Thar,2007,Hatchback,Petrol,Silver,Uttar Pradesh,Kanpur,Area-23,Evening,PS-46,No,,No,1,No,No,Expired,26-40
26,2023-10-17,2023-10-24,Honda,City,2011,SUV,Petrol,Green,West Bengal,Durgapur,Area-20,Morning,PS-34,No,,No,0,No,No,Valid,41-60
27,2023-04-05,2023-04-10,Renault,Kwid,2018,Hatchback,Electric,Gray,Delhi,West Delhi,Area-44,Night,PS-93,No,,No,0,No,No,No Insurance,41-60
28,2023-12-03,2023-12-10,Mahindra,XUV500,2015,Convertible,Petrol,Blue,Delhi,New Delhi,Area-14,Afternoon,PS-3,No,,No,2,No,Yes,Valid,41-60
29,2023-09-08,2023-09-12,Hyundai,Verna,2018,SUV,CNG,Blue,Rajasthan,Jaipur,Area-46,Evening,PS-15,No,,No,1,No,Yes,Valid,18-25
30,2023-08-06,2023-08-07,Tata,Nexon,2012,SUV,Electric,Yellow,Punjab,Ludhiana,Area-26,Night,PS-63,No,,Yes,0,Yes,No,Expired,60+
31,2023-03-04,2023-03-05,Toyota,Etios,2019,Hatchback,Electric,Blue,Karnataka,Hubli,Area-38,Morning,PS-96,No,,No,0,No,Yes,Valid,18-25
32,2023-10-03,2023-10-04,Maruti,Ertiga,2014,SUV,Electric,White,Karnataka,Hubli,Area-23,Afternoon,PS-93,Yes,2023-10-15,No,1,No,Yes,No Insurance,18-25
33,2023-04-08,2023-04-09,Nissan,Magnite,2019,Hatchback,Electric,Gray,Maharashtra,Nagpur,Area-15,Afternoon,PS-68,No,,No,2,Yes,No,Valid,60+
34,2023-05-16,2023-05-20,Honda,Amaze,2005,Hatchback,CNG,Red,Delhi,New Delhi,Area-5,Night,PS-77,Yes,2023-05-29,No,0,No,Yes,Valid,26-40
35,2023-04-25,2023-04-29,Mahindra,Thar,2019,Convertible,Electric,Black,West Bengal,Kolkata,Area-9,Afternoon,PS-8,Yes,2023-05-28,No,1,Yes,Yes,Valid,26-40
36,2023-09-07,2023-09-07,Mahindra,Scorpio,2010,MUV,Electric,Red,Rajasthan,Jaipur,Area-21,Afternoon,PS-65,Yes,2023-09-21,Yes,1,No,No,No Insurance,41-60
37,2023-10-08,2023-10-12,Hyundai,Venue,2019,MUV,Petrol,White,Delhi,South Delhi,Area-3,Night,PS-77,No,,No,2,No,No,Expired,26-40
38,2023-06-14,2023-06-16,Maruti,Ertiga,2017,Hatchback,CNG,Blue,Rajasthan,Udaipur,Area-47,Afternoon,PS-23,No,,Yes,2,No,No,No Insurance,41-60
39,2023-10-15,2023-10-21,Tata,Nexon,2005,Convertible,Electric,Green,Maharashtra,Pune,Area-25,Afternoon,PS-43,No,,No,0,No,Yes,Expired,60+
40,2023-06-06,2023-06-12,Maruti,Baleno,2019,Hatchback,Petrol,Red,Gujarat,Vadodara,Area-48,Morning,PS-43,No,,No,2,Yes,Yes,No Insurance,60+
41,2023-02-11,2023-02-18,Kia,Sonet,2011,SUV,Petrol,Gray,Uttar Pradesh,Lucknow,Area-44,Evening,PS-12,No,,Yes,2,Yes,No,No Insurance,41-60
42,2023-12-02,2023-12-05,Toyota,Innova,2014,Pickup,Diesel,Green,Karnataka,Mysore,Area-14,Morning,PS-91,No,,No,2,Yes,No,Valid,60+
43,2023-09-22,2023-09-22,Toyota,Glanza,2005,MUV,CNG,White,Gujarat,Ahmedabad,Area-43,Afternoon,PS-2,Yes,2023-10-08,No,1,No,Yes,No Insurance,18-25
44,2023-11-04,2023-11-06,Maruti,WagonR,2018,MUV,CNG,Red,Rajasthan,Jodhpur,Area-46,Night,PS-55,No,,No,1,Yes,No,No Insurance,60+
45,2023-12-21,2023-12-22,Hyundai,i20,2018,Convertible,Electric,Silver,Delhi,West Delhi,Area-34,Evening,PS-8,No,,No,0,Yes,No,No Insurance,26-40
46,2023-10-03,2023-10-09,Mahindra,Scorpio,2018,Hatchback,Petrol,Blue,Gujarat,Vadodara,Area-2,Morning,PS-32,Yes,2023-11-07,No,1,Yes,No,Expired,41-60
47,2023-10-11,2023-10-14,Tata,Nexon,2018,MUV,CNG,Yellow,Uttar Pradesh,Noida,Area-16,Morning,PS-62,No,,No,0,No,Yes,Expired,41-60
48,2023-04-04,2023-04-05,Maruti,Ertiga,2010,SUV,CNG,Black,Rajasthan,Udaipur,Area-30,Night,PS-87,No,,No,0,Yes,No,No Insurance,26-40
49,2023-08-30,2023-09-04,Tata,Harrier,2005,Pickup,Petrol,Red,Uttar Pradesh,Lucknow,Area-22,Morning,PS-33,No,,Yes,0,No,Yes,No Insurance,60+
50,2023-12-05,2023-12-10,Toyota,Innova,2018,Pickup,Electric,Silver,Maharashtra,Mumbai,Area-43,Evening,PS-6,Yes,2023-12-17,No,2,Yes,Yes,No Insurance,18-25
51,2023-11-02,2023-11-05,Ford,Aspire,2021,Pickup,Electric,Blue,Gujarat,Ahmedabad,Area-49,Evening,PS-4,No,,No,0,No,Yes,Valid,26-40
52,2023-10-21,2023-10-21,Kia,Sonet,2020,MUV,Diesel,Blue,West Bengal,Durgapur,Area-37,Morning,PS-39,No,,Yes,0,Yes,No,No Insurance,41-60
53,2023-01-01,2023-01-01,Ford,Figo,2018,Convertible,CNG,White,Karnataka,Hubli,Area-31,Morning,PS-54,Yes,2023-01-11,Yes,2,No,No,No Insurance,26-40
54,2023-03-13,2023-03-14,Honda,WRV,2012,SUV,Electric,Yellow,Uttar Pradesh,Lucknow,Area-26,Evening,PS-61,No,,No,0,No,No,Valid,26-40
55,2023-02-08,2023-02-11,Hyundai,Verna,2008,Convertible,Diesel,White,Karnataka,Mysore,Area-4,Afternoon,PS-44,No,,No,1,Yes,Yes,Valid,60+
56,2023-07-11,2023-07-12,Maruti,Swift,2009,Hatchback,Petrol,Gray,Uttar Pradesh,Kanpur,Area-38,Night,PS-37,No,,Yes,2,Yes,No,Expired,26-40
57,2023-01-13,2023-01-19,Toyota,Innova,2018,Hatchback,Diesel,Red,Karnataka,Hubli,Area-11,Night,PS-3,No,,No,2,No,No,Expired,18-25
58,2023-05-05,2023-05-05,Hyundai,i20,2013,Convertible,Petrol,Blue,Karnataka,Bangalore,Area-14,Afternoon,PS-81,No,,Yes,2,Yes,No,Expired,26-40
59,2023-05-31,2023-06-04,Maruti,WagonR,2019,Pickup,Electric,Blue,Rajasthan,Jaipur,Area-36,Afternoon,PS-95,No,,No,2,Yes,No,Valid,26-40
60,2023-12-06,2023-12-11,Tata,Harrier,2007,Hatchback,CNG,Black,Karnataka,Bangalore,Area-16,Evening,PS-7,No,,Yes,0,No,Yes,No Insurance,26-40
61,2023-10-28,2023-10-29,Ford,Figo,2014,SUV,CNG,Black,Maharashtra,Mumbai,Area-28,Night,PS-47,No,,No,2,Yes,No,Expired,41-60
62,2023-09-29,2023-10-05,Hyundai,Venue,2007,Convertible,Petrol,Gray,Madhya Pradesh,Bhopal,Area-15,Night,PS-57,Yes,2023-10-15,Yes,0,No,No,Valid,26-40
63,2023-08-28,2023-09-01,Hyundai,Venue,2011,Convertible,Petrol,Gray,Punjab,Ludhiana,Area-36,Night,PS-22,No,,No,0,No,No,Expired,41-60
64,2023-09-02,2023-09-06,Honda,Amaze,2015,Sedan,Electric,Green,Maharashtra,Nagpur,Area-19,Night,PS-90,No,,No,1,No,Yes,Expired,18-25
65,2023-07-04,2023-07-04,Mahindra,Thar,2019,MUV,Petrol,Silver,Tamil Nadu,Chennai,Area-13,Night,PS-5,No,,No,1,Yes,Yes,No Insurance,18-25
66,2023-09-23,2023-09-29,Renault,Duster,2008,SUV,Electric,Gray,West Bengal,Kolkata,Area-27,Morning,PS-11,No,,Yes,0,No,Yes,No Insurance,18-25
67,2023-08-09,2023-08-11,Toyota,Fortuner,2023,Pickup,Electric,Silver,Gujarat,Vadodara,Area-7,Afternoon,PS-15,No,,No,2,Yes,Yes,Expired,18-25
68,2023-08-09,2023-08-14,Ford,Ecosport,2012,Pickup,Diesel,Red,Punjab,Jalandhar,Area-34,Afternoon,PS-43,Yes,2023-09-06,No,2,No,Yes,No Insurance,41-60
69,2023-10-26,2023-11-02,Mahindra,Thar,2018,SUV,Diesel,Black,Uttar Pradesh,Noida,Area-9,Afternoon,PS-96,Yes,2023-11-18,No,0,No,No,No Insurance,41-60
70,2023-07-29,2023-07-31,Ford,Figo,2017,Hatchback,Electric,Red,Karnataka,Hubli,Area-25,Night,PS-85,No,,No,1,No,No,Valid,26-40
71,2023-07-10,2023-07-10,Honda,Amaze,2014,SUV,Petrol,Black,Gujarat,Vadodara,Area-32,Morning,PS-42,No,,Yes,2,Yes,No,No Insurance,41-60
72,2023-05-13,2023-05-19,Mahindra,Scorpio,2013,Convertible,Petrol,White,Delhi,West Delhi,Area-14,Night,PS-28,No,,No,0,Yes,Yes,Expired,41-60
73,2023-04-17,2023-04-19,Tata,Nexon,2013,Sedan,Diesel,Green,Karnataka,Hubli,Area-10,Night,PS-98,No,,No,0,Yes,Yes,Valid,41-60
74,2023-01-23,2023-01-30,Tata,Nexon,2022,SUV,Electric,Blue,Madhya Pradesh,Bhopal,Area-36,Night,PS-37,No,,Yes,0,No,Yes,Expired,60+
75,2023-06-01,2023-06-08,Renault,Duster,2015,Convertible,Electric,Silver,West Bengal,Howrah,Area-37,Afternoon,PS-54,Yes,2023-07-02,No,1,Yes,No,No Insurance,41-60
76,2023-08-08,2023-08-10,Nissan,Kicks,2016,SUV,Electric,Blue,Madhya Pradesh,Gwalior,Area-1,Morning,PS-15,No,,No,1,No,Yes,Valid,41-60
77,2023-05-23,2023-05-30,Tata,Harrier,2016,MUV,CNG,Gray,Tamil Nadu,Coimbatore,Area-10,Night,PS-25,Yes,2023-05-30,No,0,Yes,No,No Insurance,60+
78,2023-07-19,2023-07-26,Maruti,Ertiga,2015,Sedan,CNG,Green,Uttar Pradesh,Lucknow,Area-20,Night,PS-34,No,,Yes,2,Yes,No,Expired,26-40
79,2023-07-28,2023-08-04,Nissan,Kicks,2006,SUV,Electric,Gray,Delhi,New Delhi,Area-43,Evening,PS-1,No,,Yes,2,Yes,No,Expired,18-25
80,2024-01-01,2024-01-06,Toyota,Fortuner,2019,MUV,CNG,Blue,Gujarat,Surat,Area-3,Night,PS-51,Yes,2024-01-14,Yes,1,Yes,Yes,No Insurance,41-60
81,2023-03-15,2023-03-22,Honda,Jazz,2011,Pickup,Diesel,Red,Maharashtra,Nagpur,Area-38,Evening,PS-29,No,,No,1,No,Yes,Expired,41-60
82,2023-11-30,2023-12-01,Honda,Amaze,2014,SUV,Diesel,White,Uttar Pradesh,Noida,Area-29,Evening,PS-50,Yes,2023-12-29,No,0,No,Yes,Valid,18-25
83,2023-06-14,2023-06-15,Nissan,Magnite,2006,Sedan,Electric,White,Tamil Nadu,Chennai,Area-2,Morning,PS-87,Yes,2023-07-04,No,1,No,No,Expired,18-25
84,2023-04-12,2023-04-19,Honda,Amaze,2021,SUV,Diesel,Black,Rajasthan,Jodhpur,Area-45,Evening,PS-60,No,,No,2,No,No,No Insurance,41-60
85,2023-01-26,2023-01-29,Hyundai,Creta,2013,Sedan,CNG,Red,Uttar Pradesh,Noida,Area-24,Evening,PS-87,No,,No,0,No,No,No Insurance,26-40
86,2023-08-24,2023-08-31,Nissan,Sunny,2015,Hatchback,Petrol,Silver,Maharashtra,Pune,Area-21,Night,PS-73,Yes,2023-09-28,Yes,2,No,Yes,No Insurance,41-60
87,2023-10-22,2023-10-26,Toyota,Fortuner,2006,Convertible,Electric,White,West Bengal,Durgapur,Area-26,Morning,PS-63,No,,Yes,0,Yes,No,Expired,26-40
88,2023-02-09,2023-02-14,Maruti,Baleno,2016,Pickup,CNG,Black,Madhya Pradesh,Indore,Area-28,Evening,PS-21,Yes,2023-02-26,No,0,Yes,Yes,Expired,18-25
89,2023-05-18,2023-05-19,Hyundai,Creta,2021,MUV,Electric,Gray,Karnataka,Hubli,Area-1,Afternoon,PS-73,No,,No,0,No,Yes,Valid,26-40
90,2023-08-31,2023-09-04,Maruti,Ertiga,2019,Convertible,Petrol,Blue,Maharashtra,Mumbai,Area-7,Night,PS-91,Yes,2023-09-28,No,2,Yes,Yes,No Insurance,26-40
91,2023-11-15,2023-11-22,Ford,Ecosport,2009,MUV,Electric,Green,Madhya Pradesh,Gwalior,Area-3,Morning,PS-58,No,,Yes,2,Yes,No,No Insurance,41-60
92,2023-04-09,2023-04-16,Ford,Ecosport,2018,Convertible,Petrol,Yellow,Rajasthan,Jaipur,Area-46,Morning,PS-43,Yes,2023-04-20,Yes,1,Yes,No,No Insurance,26-40
93,2023-08-25,2023-08-30,Kia,Carens,2013,MUV,Diesel,Yellow,Delhi,New Delhi,Area-37,Evening,PS-84,No,,No,2,No,Yes,Expired,26-40
94,2023-02-27,2023-03-01,Renault,Duster,2013,SUV,Diesel,Green,Punjab,Amritsar,Area-7,Afternoon,PS-24,No,,No,2,No,No,Expired,41-60
95,2023-08-21,2023-08-28,Maruti,Swift,2005,Hatchback,Diesel,Yellow,Gujarat,Surat,Area-8,Afternoon,PS-33,No,,No,0,No,No,No Insurance,41-60
96,2023-02-14,2023-02-21,Kia,Carens,2005,Convertible,CNG,Yellow,Rajasthan,Jaipur,Area-49,Evening,PS-5,Yes,2023-03-12,No,2,No,No,No Insurance,60+
97,2023-09-05,2023-09-11,Mahindra,Thar,2023,MUV,Electric,Blue,Tamil Nadu,Coimbatore,Area-9,Morning,PS-37,Yes,2023-10-02,No,0,No,No,Valid,18-25
98,2023-05-18,2023-05-20,Hyundai,i20,2007,Pickup,Petrol,Blue,Maharashtra,Pune,Area-26,Morning,PS-91,No,,No,0,Yes,No,Expired,41-60
99,2023-12-16,2023-12-17,Honda,City,2019,Convertible,Diesel,Silver,Tamil Nadu,Madurai,Area-36,Evening,PS-68,Yes,2023-12-20,Yes,2,No,Yes,Valid,41-60
100,2023-07-12,2023-07-17,Honda,WRV,2020,Sedan,Electric,Black,Delhi,New Delhi,Area-34,Afternoon,PS-9,No,,No,0,No,Yes,No Insurance,41-60
101,2023-06-20,2023-06-22,Toyota,Innova,2022,MUV,CNG,Yellow,Punjab,Amritsar,Area-48,Morning,PS-6,No,,No,1,No,No,Valid,26-40
102,2023-03-16,2023-03-22,Toyota,Innova,2021,Hatchback,Petrol,White,Madhya Pradesh,Gwalior,Area-22,Morning,PS-84,No,,No,1,Yes,No,Valid,18-25
103,2023-12-30,2024-01-04,Mahindra,Thar,2015,Pickup,Petrol,Silver,Gujarat,Surat,Area-15,Night,PS-22,No,,Yes,1,No,No,No Insurance,26-40
104,2023-12-24,2023-12-27,Kia,Sonet,2006,SUV,Diesel,Yellow,Maharashtra,Pune,Area-26,Afternoon,PS-90,No,,No,2,Yes,Yes,Valid,60+
105,2023-12-06,2023-12-11,Maruti,WagonR,2023,SUV,CNG,Green,Madhya Pradesh,Bhopal,Area-12,Afternoon,PS-89,Yes,2024-01-10,Yes,1,No,No,Valid,18-25
106,2023-03-22,2023-03-27,Mahindra,XUV500,2018,Hatchback,CNG,Yellow,Uttar Pradesh,Lucknow,Area-8,Morning,PS-42,No,,No,0,Yes,Yes,Expired,60+
107,2023-06-19,2023-06-19,Nissan,Sunny,2011,MUV,Diesel,Green,Delhi,South Delhi,Area-6,Afternoon,PS-68,Yes,2023-07-01,No,0,No,Yes,Expired,41-60
108,2023-06-25,2023-06-28,Ford,Figo,2015,Hatchback,Electric,Blue,Karnataka,Hubli,Area-33,Morning,PS-50,Yes,2023-07-11,No,2,Yes,Yes,Valid,26-40
109,2023-07-30,2023-08-05,Nissan,Kicks,2012,Sedan,Electric,White,Delhi,West Delhi,Area-16,Evening,PS-28,No,,No,2,No,Yes,Valid,41-60
110,2023-10-24,2023-10-30,Honda,WRV,2013,Convertible,Electric,Black,Karnataka,Hubli,Area-6,Morning,PS-69,No,,No,1,Yes,Yes,Valid,41-60
111,2023-11-18,2023-11-24,Hyundai,Verna,2014,Convertible,Diesel,Silver,Punjab,Ludhiana,Area-34,Morning,PS-25,Yes,2023-12-01,No,1,Yes,Yes,Valid,18-25
112,2023-05-11,2023-05-14,Renault,Kwid,2019,Convertible,Petrol,Green,Delhi,South Delhi,Area-8,Night,PS-86,No,,No,1,Yes,No,Valid,18-25
113,2023-05-21,2023-05-27,Tata,Nexon,2005,SUV,Electric,Yellow,West Bengal,Kolkata,Area-33,Afternoon,PS-22,Yes,2023-06-13,No,1,Yes,Yes,Valid,41-60
114,2023-04-27,2023-05-04,Nissan,Sunny,2020,SUV,Petrol,Silver,Uttar Pradesh,Lucknow,Area-47,Afternoon,PS-35,Yes,2023-05-25,No,0,Yes,Yes,No Insurance,26-40
115,2023-11-25,2023-12-01,Mahindra,XUV500,2010,Sedan,Diesel,Black,Gujarat,Ahmedabad,Area-14,Evening,PS-1,No,,No,1,Yes,No,Expired,18-25
116,2023-09-05,2023-09-09,Toyota,Fortuner,2008,Pickup,Diesel,Black,Rajasthan,Jaipur,Area-5,Night,PS-91,Yes,2023-09-09,No,0,No,Yes,Valid,41-60
117,2023-12-21,2023-12-21,Kia,Carens,2013,SUV,CNG,Gray,Maharashtra,Pune,Area-38,Night,PS-50,No,,Yes,0,No,Yes,No Insurance,18-25
118,2023-05-03,2023-05-06,Mahindra,Scorpio,2019,SUV,Petrol,Black,Rajasthan,Jaipur,Area-43,Evening,PS-15,No,,Yes,0,Yes,Yes,Expired,60+
119,2023-07-29,2023-08-04,Kia,Carens,2007,Pickup,Diesel,Gray,Madhya Pradesh,Gwalior,Area-9,Afternoon,PS-35,Yes,2023-08-09,Yes,1,No,No,No Insurance,26-40
120,2023-11-22,2023-11-28,Tata,Altroz,2015,Hatchback,CNG,Silver,West Bengal,Kolkata,Area-5,Night,PS-78,Yes,2023-12-21,No,2,No,Yes,Valid,18-25
121,2023-10-14,2023-10-21,Tata,Harrier,2022,Hatchback,CNG,Gray,West Bengal,Kolkata,Area-20,Evening,PS-80,No,,Yes,2,No,No,No Insurance,26-40
122,2023-06-17,2023-06-24,Mahindra,Thar,2015,Pickup,CNG,Green,Punjab,Ludhiana,Area-23,Morning,PS-85,Yes,2023-07-08,No,0,Yes,Yes,Expired,60+
123,2023-05-07,2023-05-07,Hyundai,Verna,2019,SUV,Petrol,Green,Madhya Pradesh,Bhopal,Area-15,Morning,PS-4,Yes,2023-05-24,No,1,Yes,Yes,Valid,18-25
124,2023-06-05,2023-06-12,Kia,Carens,2013,SUV,CNG,Red,Delhi,New Delhi,Area-26,Evening,PS-14,No,,No,1,No,No,Expired,26-40
125,2023-01-08,2023-01-15,Ford,Figo,2014,Convertible,Diesel,Black,Madhya Pradesh,Indore,Area-17,Afternoon,PS-98,No,,Yes,0,No,No,No Insurance,60+
126,2023-01-01,2023-01-01,Honda,Jazz,2010,MUV,Diesel,Yellow,West Bengal,Kolkata,Area-50,Night,PS-72,No,,No,0,No,No,Expired,41-60
127,2023-10-06,2023-10-08,Honda,Amaze,2023,Sedan,Electric,Silver,Rajasthan,Jodhpur,Area-16,Morning,PS-5,Yes,2023-10-13,No,0,No,No,Valid,60+
128,2023-08-27,2023-09-03,Ford,Figo,2023,Sedan,Diesel,Red,Karnataka,Mysore,Area-8,Morning,PS-55,Yes,2023-09-26,No,0,Yes,Yes,No Insurance,60+
129,2023-06-05,2023-06-09,Ford,Ecosport,2005,Convertible,Petrol,Blue,Madhya Pradesh,Gwalior,Area-28,Morning,PS-48,No,,No,2,Yes,Yes,No Insurance,41-60
130,2023-08-24,2023-08-27,Hyundai,Venue,2022,SUV,Diesel,Red,Rajasthan,Jodhpur,Area-13,Night,PS-93,Yes,2023-09-20,No,1,No,No,Expired,60+
131,2023-04-13,2023-04-14,Hyundai,Venue,2022,Pickup,Diesel,Silver,Maharashtra,Pune,Area-48,Evening,PS-30,No,,No,0,Yes,Yes,Valid,18-25
132,2023-02-25,2023-03-03,Tata,Altroz,2012,Hatchback,CNG,Green,Maharashtra,Nagpur,Area-30,Evening,PS-78,Yes,2023-03-15,No,0,No,Yes,Valid,18-25
133,2023-05-16,2023-05-21,Mahindra,Thar,2015,MUV,Diesel,Black,West Bengal,Durgapur,Area-15,Morning,PS-13,Yes,2023-06-11,No,2,No,Yes,Valid,26-40
134,2023-06-28,2023-06-29,Honda,WRV,2011,Pickup,Petrol,Gray,Rajasthan,Udaipur,Area-36,Morning,PS-1,No,,Yes,0,No,No,Valid,41-60
135,2023-12-22,2023-12-29,Mahindra,XUV500,2006,Convertible,Electric,Gray,Delhi,South Delhi,Area-36,Evening,PS-31,Yes,2024-01-22,No,2,No,No,Valid,41-60
136,2023-07-31,2023-08-06,Maruti,Swift,2007,Pickup,Petrol,Gray,Maharashtra,Nagpur,Area-18,Morning,PS-32,No,,No,2,Yes,Yes,No Insurance,60+
137,2023-03-27,2023-04-01,Kia,Carens,2018,Convertible,Diesel,Red,Rajasthan,Jaipur,Area-35,Evening,PS-82,Yes,2023-04-07,No,2,Yes,No,No Insurance,26-40
138,2023-03-06,2023-03-10,Tata,Nexon,2009,SUV,Electric,Yellow,Madhya Pradesh,Gwalior,Area-28,Evening,PS-73,Yes,2023-04-03,No,1,No,No,No Insurance,41-60
139,2023-08-17,2023-08-21,Nissan,Sunny,2013,Hatchback,Diesel,Green,Gujarat,Vadodara,Area-19,Evening,PS-51,No,,No,0,Yes,No,Expired,60+
140,2023-10-27,2023-10-31,Honda,Amaze,2013,Pickup,Diesel,Silver,Punjab,Jalandhar,Area-2,Afternoon,PS-57,Yes,2023-11-26,No,1,No,Yes,No Insurance,41-60
141,2023-11-18,2023-11-20,Tata,Altroz,2012,Convertible,CNG,Green,Karnataka,Bangalore,Area-14,Afternoon,PS-27,No,,No,0,No,No,Valid,41-60
142,2023-04-25,2023-05-02,Maruti,WagonR,2015,Convertible,Petrol,Green,Karnataka,Hubli,Area-23,Night,PS-94,No,,No,2,No,Yes,No Insurance,26-40
143,2023-07-21,2023-07-28,Toyota,Innova,2015,Convertible,Electric,White,West Bengal,Durgapur,Area-46,Night,PS-39,No,,No,0,No,No,Expired,26-40
144,2023-08-10,2023-08-16,Ford,Aspire,2008,Convertible,CNG,Green,Karnataka,Bangalore,Area-1,Night,PS-71,Yes,2023-08-23,No,2,No,No,Expired,41-60
145,2023-07-23,2023-07-26,Honda,WRV,2017,Convertible,Electric,Silver,West Bengal,Howrah,Area-49,Morning,PS-85,No,,No,2,Yes,Yes,Expired,18-25
146,2023-04-16,2023-04-17,Ford,Figo,2010,SUV,Diesel,Black,Karnataka,Hubli,Area-50,Morning,PS-21,No,,No,0,No,Yes,Expired,41-60
147,2023-06-01,2023-06-03,Hyundai,i20,2017,MUV,Diesel,White,Maharashtra,Pune,Area-31,Evening,PS-5,Yes,2023-06-07,Yes,1,Yes,No,Valid,26-40
